iter	Passed	Remaining
0	191	76311
1	298	59500
2	432	57235
3	626	62052
4	764	60366
5	899	59072
6	1029	57771
7	1174	57552
8	1299	56437
9	1426	55640
10	1575	55726
11	1724	55751
12	1880	55978
13	2038	56194
14	2163	55539
15	2280	54722
16	2629	59237
17	2753	58440
18	2906	58273
19	3069	58317
20	3225	58206
21	3352	57610
22	3482	57077
23	3768	59045
24	3897	58463
25	4024	57896
26	4143	57244
27	4264	56658
28	4382	56062
29	4509	55616
30	4640	55232
31	4774	54907
32	4903	54535
33	5020	54040
34	5143	53635
35	5264	53232
36	5392	52908
37	5520	52588
38	5664	52437
39	5796	52167
40	5942	52033
41	6088	51894
42	6231	51738
43	6362	51479
44	6509	51349
45	6633	51050
46	6758	50762
47	6880	50459
48	7009	50208
49	7133	49933
50	7259	49674
51	7389	49455
52	7520	49240
53	7659	49078
54	7782	48815
55	7905	48563
56	8029	48317
57	8149	48052
58	8273	47816
59	8392	47555
60	8525	47380
61	8660	47215
62	8801	47080
63	8936	46917
64	9062	46705
65	9190	46510
66	9330	46371
67	9456	46172
68	9592	46017
69	9711	45782
70	9839	45593
71	9962	45386
72	10086	45181
73	10207	44968
74	10329	44760
75	10454	44570
76	10577	44369
77	10698	44165
78	10825	43986
79	10938	43752
80	11060	43558
81	11181	43361
82	11296	43143
83	11414	42939
84	11530	42730
85	11655	42556
86	11778	42374
87	11901	42195
88	12027	42027
89	12144	41829
90	12270	41666
91	12385	41463
92	12507	41289
93	12646	41167
94	12767	40989
95	12885	40804
96	13012	40647
97	13147	40516
98	13285	40391
99	13410	40232
100	13550	40115
101	13711	40058
102	13848	39931
103	13973	39770
104	14098	39609
105	14221	39445
106	14347	39288
107	14474	39134
108	14597	38972
109	14724	38819
110	14850	38665
111	14972	38501
112	15095	38340
113	15221	38187
114	15361	38069
115	15501	37951
116	15658	37875
117	15790	37735
118	15937	37632
119	16070	37498
120	16185	37319
121	16324	37198
122	16470	37091
123	16618	36988
124	16768	36890
125	16932	36820
126	17148	36861
127	17344	36856
128	17505	36774
129	17656	36670
130	17790	36532
131	17926	36395
132	18063	36263
133	18203	36135
134	18318	35959
135	18434	35785
136	18560	35630
137	18683	35471
138	18803	35307
139	18916	35129
140	19035	34965
141	19154	34801
142	19276	34644
143	19401	34491
144	19527	34342
145	19651	34187
146	19760	34008
147	19879	33849
148	20002	33695
149	20135	33558
150	20274	33432
151	20435	33341
152	20583	33229
153	20703	33071
154	20829	32923
155	20940	32752
156	21064	32602
157	21182	32444
158	21303	32290
159	21424	32137
160	21545	31984
161	21664	31827
162	21781	31670
163	21902	31518
164	22023	31366
165	22144	31215
166	22272	31074
167	22396	30928
168	22513	30773
169	22654	30650
170	22775	30500
171	22895	30350
172	23022	30208
173	23148	30065
174	23284	29936
175	23429	29819
176	23552	29673
177	23675	29527
178	23794	29377
179	23913	29227
180	24031	29076
181	24154	28932
182	24279	28790
183	24428	28677
184	24595	28583
185	24723	28444
186	24845	28299
187	24967	28154
188	25079	27999
189	25206	27859
190	25327	27714
191	25447	27567
192	25573	27428
193	25697	27286
194	25820	27144
195	25945	27004
196	26069	26863
197	26192	26721
